koda_letalisce,ime
AFA,Suboficial Ay Santiago Germano Airport
CTC,Catamarca Airport
SDE,Vicecomodoro Angel D. La Paz Aragonés Airport
IRJ,Capitan V A Almonacid Airport
TUC,Teniente Benjamin Matienzo Airport
UAQ,Domingo Faustino Sarmiento Airport
RCU,Area De Material Airport
VDR,Villa Dolores Airport
VME,Villa Reynolds Airport
LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport
CNQ,Corrientes Airport
RES,Resistencia International Airport
FMA,Formosa Airport
IGR,Cataratas Del Iguazú International Airport
AOL,Paso De Los Libres Airport
MCS,Monte Caseros Airport
PSS,Libertador Gral D Jose De San Martin Airport
PRQ,Termal Airport
SLA,Martin Miguel De Guemes International Airport
JUJ,Gobernador Horacio Guzman International Airport
ORA,Orán Airport
ELO,El Dorado Airport
OYA,Goya Airport
RCQ,Reconquista Airport
UZU,Curuzu Cuatia Airport
EHL,El Bolson Airport
CRD,General E. Mosconi Airport
EQS,Brigadier Antonio Parodi Airport
REL,Almirante Marco Andres Zar Airport
VDM,Gobernador Castello Airport
PMY,El Tehuelche Airport
PUD,Puerto Deseado Airport
RGA,Hermes Quijada International Airport
RGL,Piloto Civil N. Fernández Airport
USH,Malvinas Argentinas Airport
ULA,Capitan D Daniel Vazquez Airport
PMQ,Perito Moreno Airport
RZA,Santa Cruz Airport
BHI,Comandante Espora Airport
CSZ,Brigadier D.H.E. Ruiz Airport
OVR,Olavarria Airport
GPO,General Pico Airport
OYO,Tres Arroyos Airport
MDQ,Ástor Piazzola International Airport
NQN,Presidente Peron Airport
PEH,Comodoro Pedro Zanni Airport
RSA,Santa Rosa Airport
BRC,San Carlos De Bariloche Airport
TDL,Héroes De Malvinas Airport
VLG,Villa Gesell Airport
CUT,Cutral-Co Airport
CPC,Aviador C. Campos Airport
CDJ,Conceição do Araguaia Airport
AQA,Araraquara Airport
AJU,Santa Maria Airport
AFL,Piloto Osvaldo Marques Dias Airport
ARU,Araçatuba Airport
BEL,Val de Cans/Júlio Cezar Ribeiro International Airport
BGX,Comandante Gustavo Kraemer Airport
PLU,Pampulha - Carlos Drummond de Andrade Airport
BFH,Bacacheri Airport
BSB,Presidente Juscelino Kubistschek International Airport
BAU,Bauru Airport
BVB,Atlas Brasil Cantanhede Airport
BPG,Barra do Garças Airport
CAC,Cascavel Airport
CNF,Tancredo Neves International Airport
CGR,Campo Grande Airport
XAP,Serafin Enoss Bertaso Airport
CLN,Brig. Lysias Augusto Rodrigues Airport
CCM,Diomício Freitas Airport
CAW,Bartolomeu Lisandro Airport
CMG,Corumbá International Airport
CWB,Afonso Pena Airport
CRQ,Caravelas Airport
CXJ,Hugo Cantergiani Regional Airport
CGB,Marechal Rondon Airport
CZS,Cruzeiro do Sul Airport
PPB,Presidente Prudente Airport
MAO,Eduardo Gomes International Airport
JCR,Jacareacanga Airport
IGU,Cataratas International Airport
FLN,Hercílio Luz International Airport
FEN,Fernando de Noronha Airport
FOR,Pinto Martins International Airport
GIG,Rio Galeão – Tom Jobim International Airport
GJM,Guajará-Mirim Airport
GYN,Santa Genoveva Airport
GRU,Guarulhos - Governador André Franco Montoro International Airport
GUJ,Guaratinguetá Airport
ATM,Altamira Airport
ITA,Itacoatiara Airport
ITB,Itaituba Airport
IOS,Bahia - Jorge Amado Airport
IPN,Usiminas Airport
ITR,Francisco Vilela do Amaral Airport
IMP,Prefeito Renato Moreira Airport
JDF,Francisco de Assis Airport
JPA,Presidente Castro Pinto International Airport
JOI,Lauro Carneiro de Loyola Airport
CPV,Presidente João Suassuna Airport
VCP,Viracopos International Airport
LAJ,Lages Airport
LIP,Lins Airport
LDB,Governador José Richa Airport
LAZ,Bom Jesus da Lapa Airport
MAB,João Correa da Rocha Airport
MEU,Monte Dourado Airport
MGF,Regional de Maringá - Sílvio Nane Junior Airport
MOC,Mário Ribeiro Airport
PLL,Ponta Pelada Airport
MCZ,Zumbi dos Palmares Airport
MCP,Alberto Alcolumbre Airport
MVF,Dix-Sept Rosado Airport
MNX,Manicoré Airport
NVT,Ministro Victor Konder International Airport
GEL,Santo Ângelo Airport
NAT,Governador Aluízio Alves International Airport
OYK,Oiapoque Airport
POA,Salgado Filho Airport
PHB,Prefeito Doutor João Silva Filho Airport
POO,Poços de Caldas - Embaixador Walther Moreira Salles Airport
PFB,Lauro Kurtz Airport
PET,João Simões Lopes Neto International Airport
PNZ,Senador Nilo Coelho Airport
PNB,Porto Nacional Airport
PMG,Ponta Porã Airport
PVH,Governador Jorge Teixeira de Oliveira Airport
RBR,Plácido de Castro Airport
REC,Guararapes - Gilberto Freyre International Airport
SDU,Santos Dumont Airport
RAO,Leite Lopes Airport
SNZ,Santa Cruz Air Force Base
SJK,Professor Urbano Ernesto Stumpf Airport
SLZ,Marechal Cunha Machado International Airport
CGH,Congonhas Airport
SJP,Prof. Eribelto Manoel Reino State Airport
SSZ,Base Aérea de Santos Airport
SSA,Deputado Luiz Eduardo Magalhães International Airport
TMT,Trombetas Airport
THE,Senador Petrônio Portela Airport
TFF,Tefé Airport
TRQ,Tarauacá Airport
TEC,Telêmaco Borba Airport
TBT,Tabatinga Airport
TUR,Tucuruí Airport
SJL,São Gabriel da Cachoeira Airport
PAV,Paulo Afonso Airport
URG,Rubem Berta Airport
UDI,Ten. Cel. Aviador César Bombonato Airport
UBA,Mário de Almeida Franco Airport
VAG,Major Brigadeiro Trompowsky Airport
BVH,Brigadeiro Camarão Airport
VIX,Eurico de Aguiar Salles Airport
QPS,Campo Fontenelle Airport
ARI,Chacalluta Airport
BBA,Balmaceda Airport
CCH,Chile Chico Airport
CJC,El Loa Airport
YAI,Gral. Bernardo O´Higgins Airport
PUQ,Pdte. Carlos Ibañez del Campo Airport
GXQ,Teniente Vidal Airport
IQQ,Diego Aracena Airport
SCL,Comodoro Arturo Merino Benítez International Airport
ANF,Andrés Sabella Gálvez International Airport
WPR,Capitan Fuentes Martinez Airport Airport
FFU,Futaleufú Airport
LSQ,María Dolores Airport
WPU,Guardiamarina Zañartu Airport
CCP,Carriel Sur Airport
IPC,Mataveri Airport
ZOS,Cañal Bajo Carlos - Hott Siebert Airport
VLR,Vallenar Airport
QRC,De La Independencia Airport
TNM,Teniente Rodolfo Marsh Martin Base
LSC,La Florida Airport
PZS,Maquehue Airport
PMC,El Tepual Airport
WCH,Chaitén Airport
ZAL,Pichoy Airport
ATF,Chachoán Airport
OCC,Francisco De Orellana Airport
CUE,Mariscal Lamar Airport
GPS,Seymour Airport
GYE,José Joaquín de Olmedo International Airport
LTX,Cotopaxi International Airport
MRR,Jose Maria Velasco Ibarra Airport
XMS,Coronel E Carvajal Airport
MCH,General Manuel Serrano Airport
MEC,Eloy Alfaro International Airport
PVO,Reales Tamarindos Airport
UIO,Mariscal Sucre International Airport
ETR,Santa Rosa International Airport
SNC,General Ulpiano Paez Airport
TPC,Tarapoa Airport
TUA,Teniente Coronel Luis a Mantilla Airport
ASU,Silvio Pettirossi International Airport
AYO,Juan De Ayolas Airport
CIO,Teniente Col Carmelo Peralta Airport
ESG,Dr. Luis Maria Argaña International Airport
PIL,Carlos Miguel Gimenez Airport
AXM,El Eden Airport
PUU,Tres De Mayo Airport
ELB,Las Flores Airport
BGA,Palonegro Airport
BOG,El Dorado International Airport
BAQ,Ernesto Cortissoz International Airport
BSC,José Celestino Mutis Airport
BUN,Gerardo Tobar López Airport
CUC,Camilo Daza International Airport
CTG,Rafael Nuñez International Airport
CLO,Alfonso Bonilla Aragon International Airport
TCO,La Florida Airport
CZU,Las Brujas Airport
EJA,Yariguíes Airport
FLA,Gustavo Artunduaga Paredes Airport
GIR,Santiago Vila Airport
GPI,Juan Casiano Airport
IBE,Perales Airport
IPI,San Luis Airport
APO,Antonio Roldan Betancourt Airport
MCJ,Jorge Isaac Airport
LET,Alfredo Vásquez Cobo International Airport
EOH,Enrique Olaya Herrera Airport
MGN,Baracoa Airport
MTR,Los Garzones Airport
MVP,Fabio Alberto Leon Bentley Airport
MZL,La Nubia Airport
NVA,Benito Salas Airport
OCV,Aguas Claras Airport
OTU,Otu Airport
PCR,German Olano Airport
PEI,Matecaña International Airport
PTX,Pitalito Airport
PPN,Guillermo León Valencia Airport
PSO,Antonio Narino Airport
PVA,El Embrujo Airport
MQU,Mariquita Airport
MDE,Jose Maria Córdova International Airport
RCH,Almirante Padilla Airport
SJE,Jorge E. Gonzalez Torres Airport
SMR,Simón Bolívar International Airport
ADZ,Gustavo Rojas Pinilla International Airport
SVI,Eduardo Falla Solano Airport
TME,Gustavo Vargas Airport
AUC,Santiago Perez Airport
UIB,El Caraño Airport
ULQ,Heriberto Gíl Martínez Airport
VUP,Alfonso López Pumarejo Airport
VVC,Vanguardia Airport
BJO,Bermejo Airport
CBB,Jorge Wilsterman International Airport
CCA,Chimore Airport
CIJ,Capitán Aníbal Arab Airport
LPB,El Alto International Airport
ORU,Juan Mendoza Airport
POI,Capitan Nicolas Rojas Airport
PSZ,Capitán Av. Salvador Ogaya G. airport
SBL,Santa Ana Del Yacuma Airport
SRE,Juana Azurduy De Padilla Airport
TJA,Capitan Oriel Lea Plaza Airport
TDD,Teniente Av. Jorge Henrich Arauz Airport
VLM,Teniente Coronel Rafael Pabón Airport
VVI,Viru Viru International Airport
BYC,Yacuiba Airport
PBM,Johan Adolf Pengel International Airport
CAY,Cayenne-Rochambeau Airport
OYP,Saint-Georges-de-l'Oyapock Airport
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport
IBP,Iberia Airport
PCL,Cap FAP David Abenzur Rengifo International Airport
CHM,Teniente FAP Jaime A De Montreuil Morales Airport
CIX,Capitan FAP Jose A Quinones Gonzales International Airport
AYP,Coronel FAP Alfredo Mendivil Duarte Airport
ANS,Andahuaylas Airport
ATA,Comandante FAP German Arias Graziani Airport
LIM,Jorge Chávez International Airport
JJI,Juanjui Airport
JAU,Francisco Carle Airport
JUL,Inca Manco Capac International Airport
ILQ,Ilo Airport
TBP,Capitan FAP Pedro Canga Rodriguez Airport
YMS,Moises Benzaquen Rengifo Airport
CHH,Chachapoyas Airport
IQT,Coronel FAP Francisco Secada Vignetta International Airport
AQP,Rodríguez Ballón International Airport
TRU,Capitan FAP Carlos Martinez De Pinillos International Airport
PIO,Capitán FAP Renán Elías Olivera International Airport
TPP,Cadete FAP Guillermo Del Castillo Paredes Airport
TCQ,Coronel FAP Carlos Ciriani Santa Rosa International Airport
PEM,Padre Aldamiz International Airport
PIU,Capitán FAP Guillermo Concha Iberico International Airport
TYL,Capitan Montes Airport
CUZ,Alejandro Velasco Astete International Airport
DZO,Santa Bernardina International Airport
MVD,Carrasco International /General C L Berisso Airport
STY,Nueva Hesperides International Airport
AGV,Oswaldo Guevara Mujica Airport
AAO,Anaco Airport
BLA,General José Antonio Anzoategui International Airport
BNS,Barinas Airport
BRM,Barquisimeto International Airport
CBL,"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar"
CXA,Caicara del Orinoco Airport
CLZ,Calabozo Airport
CAJ,Canaima Airport
VCR,Carora Airport
CUP,General Francisco Bermúdez Airport
CZE,José Leonardo Chirinos Airport
CUM,Cumaná (Antonio José de Sucre) Airport
EOR,El Dorado Airport
EOZ,Elorza Airport
GDO,Guasdalito Airport
GUI,Guiria Airport
GUQ,Guanare Airport
HGE,Higuerote Airport
ICC,Andrés Miguel Salazar Marcano Airport
LSP,Josefa Camejo International Airport
LFR,La Fria Airport
MAR,La Chinita International Airport
MRD,Alberto Carnevalli Airport
PMV,Del Caribe Santiago Mariño International Airport
CCS,Simón Bolívar International Airport
MUN,Maturín Airport
PYH,Cacique Aramare Airport
PBL,General Bartolome Salom International Airport
SCI,Paramillo Airport
PZO,General Manuel Carlos Piar International Airport
PTM,Palmarito Airport
SVZ,San Antonio Del Tachira Airport
SBB,Santa Bárbara de Barinas Airport
SNV,Santa Elena de Uairen Airport
STD,Mayor Buenaventura Vivas International Airport
SNF,Sub Teniente Nestor Arias Airport
SFD,San Fernando De Apure Airport
SOM,San Tomé Airport
STB,Santa Bárbara del Zulia Airport
TUV,Tucupita Airport
TMO,Tumeremo Airport
VLN,Arturo Michelena International Airport
VLV,Dr. Antonio Nicolás Briceño Airport
VDP,Valle de La Pascua Airport
LTM,Lethem Airport
ANU,V.C. Bird International Airport
BGI,Sir Grantley Adams International Airport
DCF,Canefield Airport
DOM,Douglas-Charles Airport
FDF,Martinique Aimé Césaire International Airport
SFG,L'Espérance Airport
PTP,Pointe-à-Pitre Le Raizet
GND,Point Salines International Airport
STT,Cyril E. King Airport
STX,Henry E Rohlsen Airport
BQN,Rafael Hernandez Airport
FAJ,Diego Jimenez Torres Airport
SIG,Fernando Luis Ribas Dominicci Airport
MAZ,Eugenio Maria De Hostos Airport
PSE,Mercedita Airport
SJU,Luis Munoz Marin International Airport
SKB,Robert L. Bradshaw International Airport
SLU,George F. L. Charles Airport
UVF,Hewanorra International Airport
AUA,Queen Beatrix International Airport
BON,Flamingo International Airport
CUR,Hato International Airport
EUX,F. D. Roosevelt Airport
SXM,Princess Juliana International Airport
AXA,Clayton J Lloyd International Airport
TAB,Tobago-Crown Point Airport
POS,Piarco International Airport
EIS,Terrance B. Lettsome International Airport
CIW,Canouan Airport
MQS,Mustique Airport
SVD,Argyle International Airport
ALA,Almaty Airport
BXH,Balkhash Airport
TSE,Astana International Airport
DMB,Taraz Airport
FRU,Manas International Airport
OSS,Osh Airport
CIT,Shymkent Airport
URA,Uralsk Airport
PWQ,Pavlodar Airport
PLX,Semipalatinsk Airport
AKX,Aktobe Airport
GYD,Heydar Aliyev International Airport
YKS,Yakutsk Airport
MJZ,Mirny Airport
BQS,Ignatyevo Airport
KHV,Khabarovsk-Novy Airport
PVS,Provideniya Bay Airport
GDX,Sokol Airport
PWE,Pevek Airport
PKC,Yelizovo Airport
UUS,Yuzhno-Sakhalinsk Airport
VVO,Vladivostok International Airport
HTA,Chita-Kadala Airport
BTK,Bratsk Airport
IKT,Irkutsk Airport
UUD,Ulan-Ude Airport (Mukhino)
KBP,Boryspil International Airport
DOK,Donetsk International Airport
DNK,Dnipropetrovsk International Airport
SIP,Simferopol International Airport
IEV,Kiev Zhuliany International Airport
LWO,Lviv International Airport
ODS,Odessa International Airport
LED,Pulkovo Airport
MMK,Murmansk Airport
GME,Gomel Airport
VTB,Vitebsk Vostochny Airport
KGD,Khrabrovo Airport
MHP,Minsk 1 Airport
MSQ,Minsk National Airport
ABA,Abakan Airport
BAX,Barnaul Airport
KEJ,Kemerovo Airport
OMS,Omsk Central Airport
KRR,Krasnodar Pashkovsky International Airport
MCX,Uytash Airport
MRV,Mineralnyye Vody Airport
STW,Stavropol Shpakovskoye Airport
ROV,Platov International Airport
AER,Sochi International Airport
ASF,Astrakhan Airport
VOG,Volgograd International Airport
CEK,Chelyabinsk Balandino Airport
MQF,Magnitogorsk International Airport
NJC,Nizhnevartovsk Airport
PEE,Bolshoye Savino Airport
SGC,Surgut Airport
SVX,Koltsovo Airport
ASB,Ashgabat International Airport
KRW,Turkmenbashi Airport
CRZ,Turkmenabat Airport
DYU,Dushanbe Airport
BHK,Bukhara Airport
SKD,Samarkand Airport
TAS,Tashkent International Airport
BZK,Bryansk Airport
SVO,Sheremetyevo International Airport
KLD,Migalovo Air Base
VOZ,Voronezh International Airport
VKO,Vnukovo International Airport
SCW,Syktyvkar Airport
KZN,Kazan International Airport
REN,Orenburg Central Airport
UFA,Ufa International Airport
KUF,Kurumoch International Airport
AMD,Sardar Vallabhbhai Patel International Airport
AKD,Akola Airport
IXU,Aurangabad Airport
BOM,Chhatrapati Shivaji International Airport
PAB,Bilaspur Airport
BHJ,Bhuj Airport
IXG,Belgaum Airport
BDQ,Vadodara Airport
BHO,Raja Bhoj International Airport
BHU,Bhavnagar Airport
NMB,Daman Airport
GUX,Guna Airport
GOI,Dabolim Airport
IDR,Devi Ahilyabai Holkar Airport
JLR,Jabalpur Airport
JGA,Jamnagar Airport
IXY,Kandla Airport
HJR,Khajuraho Airport
KLH,Kolhapur Airport
IXK,Keshod Airport
NAG,Dr. Babasaheb Ambedkar International Airport
ISK,Nashik Airport
PNQ,Pune Airport
PBD,Porbandar Airport
RAJ,Rajkot Airport
RPR,Raipur Airport
SSE,Solapur Airport
STV,Surat Airport
UDR,Maharana Pratap Airport
CMB,Bandaranaike International Colombo Airport
ACJ,Anuradhapura Air Force Base
BTC,Batticaloa Airport
RML,Colombo Ratmalana Airport
ADP,Ampara Airport
JAF,Kankesanturai Airport
TRR,China Bay Airport
KZC,Kampong Chhnang Airport
PNH,Phnom Penh International Airport
REP,Siem Reap International Airport
TNX,Stung Treng Airport
IXV,Along Airport
IXA,Agartala Airport
AJL,Lengpui Airport
IXB,Bagdogra Airport
BBI,Biju Patnaik Airport
CCU,Netaji Subhash Chandra Bose International Airport
COH,Cooch Behar Airport
DBD,Dhanbad Airport
GAY,Gaya Airport
IMF,Imphal Airport
IXW,Sonari Airport
JRH,Jorhat Airport
IXH,Kailashahar Airport
IXS,Silchar Airport
IXI,North Lakhimpur Airport
DIB,Dibrugarh Airport
MZU,Muzaffarpur Airport
PAT,Lok Nayak Jayaprakash Airport
IXR,Birsa Munda Airport
RRK,Rourkela Airport
VTZ,Vishakhapatnam Airport
ZER,Ziro Airport
CXB,Cox's Bazar Airport
CGP,Shah Amanat International Airport
IRD,Ishurdi Airport
JSR,Jessore Airport
RJH,Shah Mokhdum Airport
SPD,Saidpur Airport
ZYL,Osmany International Airport
DAC,Hazrat Shahjalal International Airport
HKG,Hong Kong International Airport
AGR,Agra Airport
IXD,Allahabad Airport
ATQ,Sri Guru Ram Dass Jee International Airport
BKB,Nal Airport
VNS,Lal Bahadur Shastri Airport
KUU,Kullu Manali Airport
BUP,Bhatinda Air Force Station
BEK,Bareilly Air Force Station
IXC,Chandigarh Airport
KNU,Kanpur Airport
DED,Dehradun Airport
DEL,Indira Gandhi International Airport
GWL,Gwalior Airport
HSS,Hissar Airport
JDH,Jodhpur Airport
JAI,Jaipur International Airport
JSA,Jaisalmer Airport
IXJ,Jammu Airport
KTU,Kota Airport
LUH,Ludhiana Airport
IXL,Leh Kushok Bakula Rimpochee Airport
LKO,Chaudhary Charan Singh International Airport
IXP,Pathankot Airport
PGH,Pantnagar Airport
SXR,Sheikh ul Alam Airport
TNI,Satna Airport
LPQ,Luang Phabang International Airport
PKZ,Pakse International Airport
ZVK,Savannakhet Airport
NEU,Sam Neua Airport
VTE,Wattay International Airport
MFM,Macau International Airport
BWA,Gautam Buddha Airport
JKR,Janakpur Airport
KTM,Tribhuvan International Airport
PKR,Pokhara Airport
SIF,Simara Airport
BIR,Biratnagar Airport
AGX,Agatti Airport
BLR,Kempegowda International Airport
BEP,Bellary Airport
VGA,Vijayawada Airport
CJB,Coimbatore International Airport
COK,Cochin International Airport
CCJ,Calicut International Airport
CDP,Kadapa Airport
CBD,Car Nicobar Air Force Station
BPM,Begumpet Airport
IXM,Madurai Airport
IXE,Mangalore International Airport
MAA,Chennai International Airport
IXZ,Vir Savarkar International Airport
PNY,Pondicherry Airport
RJA,Rajahmundry Airport
SXV,Salem Airport
TJV,Tanjore Air Force Base
TIR,Tirupati Airport
TRZ,Tiruchirapally Civil Airport Airport
TRV,Trivandrum International Airport
PBH,Paro Airport
MLE,Malé International Airport
DMK,Don Mueang International Airport
KDT,Kamphaeng Saen Airport
UTP,U-Tapao International Airport
LPT,Lampang Airport
PRH,Phrae Airport
HHQ,Hua Hin Airport
TKH,Takhli Airport
PHS,Phitsanulok Airport
NAW,Narathiwat Airport
KBV,Krabi Airport
SGZ,Songkhla Airport
PAN,Pattani Airport
USM,Samui Airport
HKT,Phuket International Airport
UNN,Ranong Airport
HDY,Hat Yai International Airport
TST,Trang Airport
UTH,Udon Thani Airport
SNO,Sakon Nakhon Airport
PXR,Surin Airport
LOE,Loei Airport
DAD,Da Nang International Airport
HAN,Noi Bai International Airport
NHA,Nha Trang Air Base
HUI,Phu Bai Airport
PQC,Phu Quoc International Airport
SGN,Tan Son Nhat International Airport
VBA,Ann Airport
NYU,Bagan Airport
HEH,Heho Airport
HOX,Hommalinn Airport
KET,Kengtung Airport
KYP,Kyaukpyu Airport
LSH,Lashio Airport
MDL,Mandalay International Airport
MGZ,Myeik Airport
MYT,Myitkyina Airport
MOE,Momeik Airport
MOG,Mong Hsat Airport
NMS,Namsang Airport
PAA,Hpa-N Airport
PBU,Putao Airport
PRU,Pyay Airport
AKY,Sittwe Airport
SNW,Thandwe Airport
THL,Tachileik Airport
RGN,Yangon International Airport
UPG,Hasanuddin International Airport
BIK,Frans Kaisiepo Airport
NBX,Nabire Airport
TIM,Moses Kilangin Airport
DJJ,Sentani International Airport
WMX,Wamena Airport
MKQ,Mopah Airport
GTO,Jalaluddin Airport
PLW,Mutiara Airport
MDC,Sam Ratulangi Airport
PSJ,Kasiguncu Airport
OTI,Pitu Airport
TTE,Sultan Khairun Babullah Airport
LUW,Syukuran Aminuddin Amir Airport
AMQ,"Pattimura Airport, Ambon"
FKQ,Fakfak Airport
KNG,Kaimana Airport
BXB,Babo Airport
MKW,Rendani Airport
SOQ,Dominique Edward Osok Airport
BTU,Bintulu Airport
KCH,Kuching International Airport
LMN,Limbang Airport
MUR,Marudi Airport
MYY,Miri Airport
SBW,Sibu Airport
LDU,Lahad Datu Airport
BKI,Kota Kinabalu International Airport
LBU,Labuan Airport
TWU,Tawau Airport
BWN,Brunei International Airport
PKU,Sultan Syarif Kasim Ii (Simpang Tiga) Airport
DUM,Pinang Kampai Airport
CGK,Soekarno-Hatta International Airport
GNS,Binaka Airport
AEG,Aek Godang Airport
PDG,Minangkabau International Airport
MES,Soewondo Air Force Base
FLZ,Dr Ferdinand Lumban Tobing Airport
NPO,Nanga Pinoh Airport
KTG,Ketapang(Rahadi Usman) Airport
PNK,Supadio Airport
DJB,Sultan Thaha Airport
BKS,Fatmawati Soekarno Airport
PLM,Sultan Mahmud Badaruddin II Airport
RGT,Japura Airport
LSX,Lhok Sukon Airport
BTJ,Sultan Iskandar Muda International Airport
AOR,Sultan Abdul Halim Airport
BWH,Butterworth Airport
KBR,Sultan Ismail Petra Airport
KUA,Kuantan Airport
KTE,Kerteh Airport
IPH,Sultan Azlan Shah Airport
JHB,Senai International Airport
KUL,Kuala Lumpur International Airport
LGK,Langkawi International Airport
MKZ,Malacca Airport
TGG,Sultan Mahmud Airport
PEN,Penang International Airport
UAI,Suai Airport
DIL,Presidente Nicolau Lobato International Airport
BCH,Cakung Airport
QPG,Paya Lebar Air Base
TGA,Tengah Air Base
XSP,Seletar Airport
SIN,Singapore Changi Airport
ACF,Brisbane Archerfield Airport
ABM,Northern Peninsula Airport
ASP,Alice Springs Airport
BNE,Brisbane International Airport
OOL,Gold Coast Airport
CNS,Cairns International Airport
CTL,Charleville Airport
ISA,Mount Isa Airport
MCY,Sunshine Coast Airport
MKY,Mackay Airport
PPP,Proserpine Whitsunday Coast Airport
ROK,Rockhampton Airport
TSV,Townsville Airport
WEI,Weipa Airport
AVV,Avalon Airport
ABX,Albury Airport
MEB,Melbourne Essendon Airport
HBA,Hobart International Airport
LST,Launceston Airport
MBW,Melbourne Moorabbin Airport
MEL,Melbourne International Airport
ADL,Adelaide International Airport
JAD,Perth Jandakot Airport
KTA,Karratha Airport
KGI,Kalgoorlie Boulder Airport
KNX,Kununurra Airport
LEA,Learmonth Airport
PHE,Port Hedland International Airport
PER,Perth International Airport
UMR,Woomera Airfield
XCH,Christmas Island Airport
BWU,Sydney Bankstown Airport
CBR,Canberra International Airport
CFS,Coffs Harbour Airport
CDU,Camden Airport
DBO,Dubbo City Regional Airport
NLK,Norfolk Island International Airport
XRH,RAAF Base Richmond
SYD,Sydney Kingsford Smith International Airport
TMW,Tamworth Airport
WGA,Wagga Wagga City Airport
PEK,Beijing Capital International Airport
HLD,Dongshan Airport
TSN,Tianjin Binhai International Airport
TYN,Taiyuan Wusu Airport
CAN,Guangzhou Baiyun International Airport
CSX,Changsha Huanghua International Airport
KWL,Guilin Liangjiang International Airport
NNG,Nanning Wuxu Airport
SZX,Shenzhen Bao'an International Airport
CGO,Zhengzhou Xinzheng International Airport
WUH,Wuhan Tianhe International Airport
FNJ,Pyongyang Sunan International Airport
LHW,Lanzhou Zhongchuan Airport
XIY,Xi'an Xianyang International Airport
ULN,Chinggis Khaan International Airport
JHG,Xishuangbanna Gasa Airport
KMG,Kunming Changshui International Airport
XMN,Xiamen Gaoqi International Airport
KHN,Nanchang Changbei International Airport
FOC,Fuzhou Changle International Airport
HGH,Hangzhou Xiaoshan International Airport
NGB,Ningbo Lishe International Airport
NKG,Nanjing Lukou Airport
HFE,Hefei Luogang International Airport
TAO,Liuting Airport
SHA,Shanghai Hongqiao International Airport
YNT,Yantai Laishan Airport
CKG,Chongqing Jiangbei International Airport
KWE,Longdongbao Airport
CTU,Chengdu Shuangliu International Airport
XIC,Xichang Qingshan Airport
KHG,Kashgar Airport
HTN,Hotan Airport
URC,Ürümqi Diwopu International Airport
HRB,Taiping Airport
MDG,Mudanjiang Hailang International Airport
DLC,Zhoushuizi Airport
PVG,Shanghai Pudong International Airport
TOD,Pulau Tioman Airport
SZB,Sultan Abdul Aziz Shah International Airport
NTQ,Noto Airport
HBE,Borg El Arab International Airport
BTI,Barter Island LRRS Airport
LUR,Cape Lisburne LRRS Airport
PIZ,Point Lay LRRS Airport
ITO,Hilo International Airport
ORL,Orlando Executive Airport
BTT,Bettles Airport
UTO,Indian Mountain LRRS Airport
FYU,Fort Yukon Airport
SVW,Sparrevohn LRRS Airport
FRN,Bryant Army Heliport
TLJ,Tatalina LRRS Airport
CZF,Cape Romanzof LRRS Airport
BED,Laurence G Hanscom Field
SNP,St Paul Island Airport
EHM,Cape Newenham LRRS Airport
STG,St George Airport
ILI,Iliamna Airport
PTU,Platinum Airport
BMX,Big Mountain Airport
OSC,Oscoda Wurtsmith Airport
OAR,Marina Municipal Airport
MHR,Sacramento Mather Airport
BYS,Bicycle Lake Army Air Field
FSM,Fort Smith Regional Airport
MRI,Merrill Field
GNT,Grants-Milan Municipal Airport
PNC,Ponca City Regional Airport
SVN,Hunter Army Air Field
GFK,Grand Forks International Airport
PBF,"Pine Bluff Regional Airport, Grider Field"
NSE,Whiting Field Naval Air Station - North
HNM,Hana Airport
PRC,Ernest A. Love Field
TTN,Trenton Mercer Airport
BOS,General Edward Lawrence Logan International Airport
SUU,Travis Air Force Base
RME,Griffiss International Airport
ENV,Wendover Airport
BFM,Mobile Downtown Airport
OAK,Metropolitan Oakland International Airport
OMA,Eppley Airfield
OGG,Kahului Airport
ICT,Wichita Eisenhower National Airport
MCI,Kansas City International Airport
MSN,Dane County Regional Truax Field
DLG,Dillingham Airport
HRO,Boone County Airport
PHX,Phoenix Sky Harbor International Airport
BGR,Bangor International Airport
FXE,Fort Lauderdale Executive Airport
GGG,East Texas Regional Airport
AND,Anderson Regional Airport
GEG,Spokane International Airport
HWO,North Perry Airport
SFO,San Francisco International Airport
CTB,Cut Bank International Airport
ARA,Acadiana Regional Airport
GNV,Gainesville Regional Airport
MEM,Memphis International Airport
DUG,Bisbee Douglas International Airport
BIG,Allen Army Airfield
CNW,TSTC Waco Airport
ANN,Annette Island Airport
CAR,Caribou Municipal Airport
LRF,Little Rock Air Force Base
HUA,Redstone Army Air Field
POB,Pope Field
DHT,Dalhart Municipal Airport
DLF,DLF Airport
LAX,Los Angeles International Airport
ANB,Anniston Regional Airport
CLE,Cleveland Hopkins International Airport
DOV,Dover Air Force Base
CVG,Cincinnati Northern Kentucky International Airport
FME,Tipton Airport
HON,Huron Regional Airport
JNU,Juneau International Airport
LFT,Lafayette Regional Airport
EWR,Newark Liberty International Airport
BOI,Boise Air Terminal/Gowen Field
INS,Creech Air Force Base
GCK,Garden City Regional Airport
